state,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27
Alabama,680.5429871213178,743.8634751821228,811.500417706064,883.6096657343268,960.3428809069172,1041.846896065198,1128.263093856512,1219.7268073076061,1316.3667460874228,1418.3044519045804,1525.653786185014,1638.5204528552579,1757.0015587211883,1881.1852135852523,2011.1501718915436,2146.9655173317487,2288.690391489968,2436.373767254273,2590.0542673812038,2749.760028269049,2915.508608679642,3087.3069428488593,3265.151337144984,3449.027509173393,3638.9106679869396,3834.765633844826,4036.546995769606,4244.1993049822295,4457.657302149276,4676.8461762540755,4901.681852804297,5132.07130901182,5367.9129135257235,5609.0967882649975,5855.505189882819,6107.012908398098,6363.487680550806,6624.790615474142,6890.776630327639,7161.29489359896,7436.189273857605,7715.298791828893,7998.458073750626,8285.497804076047,8576.245175693859,8870.524335947905,9168.156826854552,9468.962018033515,9772.757530986912,10079.359653480851,10388.583742902747,10700.24461758511,11014.15693520215,11330.135557458383,11647.995900397893,11967.554269768892,12288.62818097978,12611.036663279969,12934.600547891272,13259.142739902789,13584.488473824464,13910.465552771388,14236.904571322264,14563.63912216196,14890.505986678474,15217.345309740618,15544.000758932878,15870.319668569404,16196.153168849423,16845.788115701176,17169.311764652088,17491.794570086124,17813.108088403373,18133.128159030624,18451.734942167186,18768.81294550148,19084.251040436222,19397.942468362715,19709.784837524545,20019.68011100887,20327.53458639869,20633.25886761317,20936.767829454857,21237.980575372883,21536.820388940083,21833.21467952969,22127.094922663808,22418.396595491828,22707.059107841564,22993.02572927087,23276.24351253085,23556.663213835698,23834.239210317373,24108.929415026552,24380.6951898242,24649.50125649141,24915.3156063682,25178.10940881528
Alaska,27.44181803318491,34.30449887478021,42.09408303692496,50.78019045528171,60.309611014496724,70.60932371558863,81.5902599653517,93.15146192784113,105.18431883342708,117.57661842159806,130.21621583111073,142.99418879877658,155.8074091652591,168.5605122284801,181.1672855248609,193.55152698868343,205.6474401479496,217.3996427377123,228.76286679359023,239.70142485724307,250.1885101153237,260.2053895501916,269.7405396347021,278.7887645815321,287.35032821981963,295.4301225592677,303.03688918528,310.18250385507184,316.8813299960012,323.14964315230736,329.0051256647459,334.4664288675501,339.55279871775787,344.28375991058465,348.67885307136504,352.7574194545234,356.53842764306364,360.04033696257693,363.2809926491927,366.27754820014786,369.04641075734077,371.603205805108,373.96275788681265,376.1390844491544,378.1454003010603,379.9941305212404,381.6969299630682,383.2647077870512,384.70765570068346,386.0352788045911,387.2564281347152,388.3793341552837,389.4116405989567,390.36043817134095,391.2322977394144,392.0333027095717,392.7690803730603,393.4448320564321,394.06536196398406,394.6351046395327,395.15815100758886,395.6382729802538,396.0789466369687,396.48337400049417,396.8545034449473,397.19504878102407,397.50750707024866,397.794175224686,398.0571654514348,398.51972249273973,398.7227142421885,398.9089017097747,399.0796690689972,399.2362875859603,399.3799246519589,399.51165212203887,399.63245400818016,399.7432335731337,399.84481986831764,399.93797375659017,400.0233934581749,400.1017196555574,400.17354019079926,400.23939438645,400.2997770190734,400.35514197235887,400.4059055948479,400.4524497854849,400.4951248284866,400.53425199742037,400.57012594687836,400.60301690874013,400.6331727087023,400.6608206175515,400.68616905052215,400.7094091270379,400.7307161021679,400.7502506802301
Arizona,680.1488242969763,746.0279259156367,816.637758720824,892.1671175915004,972.8011608429688,1058.7206351736634,1150.1011135434435,1247.1122510510222,1349.9170636549227,1458.6712343166412,1573.5224508413046,1694.6097793552137,1822.0630769964407,1956.0024470095443,2096.5377390336926,2243.7680969604503,2397.781556318036,2558.654692718103,2726.4523224833993,2901.2272561643877,3083.020105253925,3271.859142024825,3467.7602120488236,3670.726698609609,3880.7495378995222,4097.807283591229,4321.866219103193,4552.880515632575,4790.792433811712,5035.532566654729,5287.020121299503,5545.163236916392,5809.8593360484765,6080.9955065678105,6358.448911376883,6642.087222953586,6931.7690798294,7227.344562103291,7528.655683126178,7835.536894541021,8147.815601930208,8465.312688402966,8787.84304354959,9115.216095294316,9447.236342293521,9783.703884648465,10124.414950830937,10469.162418854141,10817.736329858752,11169.924392424022,11525.512476054617,11884.285092435002,12246.025863182871,12610.517972971174,12977.544607023476,13346.88937211888,13718.336700370579,14091.67223516464,14466.683198763652,14843.158741191985,15220.890270125818,15599.67176161172,15979.300051531503,16359.575107819299,16740.300283518274,17121.282550839634,17502.3327164558,17883.2656183222,18263.90030437906,19023.57321938308,19402.27195712638,19779.993734251355,20156.580725482938,20531.880032607005,20905.743749752142,21278.029014742737,21648.598047146304,22017.318173646432,22384.06184137723,22748.706619856817,23111.135192155718,23471.2353359323,23828.8998949606,24184.026741767404,24536.518731984717,24886.28365101155,25233.2341535648,25577.28769668428,25918.36646674017,26256.397300974048,26591.311604086743,26923.04526036726,27251.538541837985,27576.736012871737,27898.586431716503,28217.042649343355,28532.061506013797,28843.603725942
Arkansas,279.6532205675994,305.9667426581972,334.0631337840848,364.00181753661263,395.8398309681849,429.6315538758072,465.42845082636046,503.27882764202104,543.2276038994378,585.3161028207683,629.5818597511758,676.0584502285626,724.7753384597371,775.7577468253244,829.0265468458473,884.5981718556212,942.4845514513486,1002.6930676102753,1065.2265322099645,1130.0831855293989,1197.2567151702938,1266.7362947089707,1338.5066412735578,1412.54809113893,1488.8366923430215,1567.3443132528257,1648.038765946453,1730.883943228791,1815.8399680620873,1902.8633541687075,1991.9071765507654,2082.921250669512,2175.8523190356273,2270.644243979018,2367.2382053925517,2465.572902277474,2565.584756958272,2667.2081208804675,2770.3754809555385,2875.017665471969,2981.064048649549,3088.4427529747313,3197.080848517433,3306.9045484933504,3417.839400400215,3529.8104721206932,3642.742532448468,3756.5602255568233,3871.188238990556,3986.5514648216854,4102.57515366711,4219.185061321668,4336.3075878128775,4453.869908733626,4571.800098756424,4690.027247276998,4808.481566176301,4927.094489728275,5045.798766715754,5164.52854484916,5283.219447611657,5401.808643680703,5520.234909099339,5638.438682391061,5756.362112830176,5873.949102094945,5991.145339543818,6107.898331365833,6224.157423864836,6455.0005974602145,6569.492704526384,6683.306974030245,6796.402115651698,6908.738710848455,7020.2792026826355,7130.987881955627,7240.830869914119,7349.776097784655,7457.793283387832,7564.853905076321,7670.931173233471,7775.999999561298,7880.0369643784425,7983.020282139989,8084.929765382321,8185.74678728717,8285.4542430499,8384.03651022805,8481.479408236926,8577.770157150071,8672.897335953367,8766.850840392777,8859.621840546946,8951.20273824743,9041.587124460992,9130.769736740374,9218.74641684203,9305.514068601873
California,4269.589270297293,4717.866041787941,5199.593645533879,5715.934486295892,6267.987014070994,6856.778977605444,7483.261136819059,8148.301484878292,8852.680023574228,9597.084128297622,10382.104531388244,11208.231945096324,12075.854337946985,12985.254871050241,13936.61049394557,14929.99119299213,15965.359879184962,17042.57289664839,18161.381127975863,19321.4316680796,20522.270034305067,21763.34287726037,23044.00115410884,24363.50372396216,25721.02132347333,27115.64087973647,28546.3701171242,30012.142414695238,31511.82187124728,33044.20853592917,34608.043763521266,36202.01565499612,37824.76454574288,39474.88850583173,41150.948818869634,42851.47540831471,44574.97218253557,46319.92227238957,48084.793137616856,49868.04152087613,51668.11823075613,53483.47273756084,55312.55756806523,57153.83248775504,59005.76846128164,60866.85138397321,62735.58557923174,64610.49705850809,66490.13654227827,68373.08224203912,70257.9424048007,72143.35762287497,74028.00291294917,75910.58956948736,77789.86679843241,79664.62313798546,81533.68767392622,83395.9310575137,85250.26633447537,87095.64959396416,88931.08044664185,90755.60234124072,92568.30272907231,94368.3130859966,96154.80880134656,97927.00894322596,99684.17590947078,101425.61497339232,103150.67373320664,106549.24844929283,108221.66509425557,109875.50117173644,111510.30486514805,113125.66182133975,114721.19415151945,116296.55939642011,117851.44946173756,119385.58952950667,120898.73695072955,122390.68012421664,123861.23736626,125310.25577541965,126737.61009637776,128143.20158649939,129526.95688843145,130888.82691177765,132228.7857266069,133546.8294712812,134842.97527683462,136117.26020989072,137369.7402358764,138600.48920407172,139809.59785583205,140997.1728571274,142163.33585636292,143308.22256827966,144431.98188457792,145534.77501176135
Colorado,875.3853253474517,1007.034636239518,1152.2047568322805,1311.4343600962986,1485.193602387253,1673.8778607788086,1877.8025793735453,2097.1992882506797,2332.2128284329,2582.899787298536,2849.2281220359896,3131.077924669795,3428.243261341925,3740.4350011984816,4067.2845365435774,4408.348285871943,4763.112864852562,5131.000807083777,5511.376716177328,5903.553733104262,6306.800207366715,6720.3464670504345,7143.391590768584,7575.110093548336,8014.658448482791,8461.181376148299,8913.817844085328,9371.706728812109,9833.992102678543,10299.82811720594,10768.383463267468,11238.845396451221,11710.423323150057,12182.35194930648,12653.893999296984,13124.342517178733,13593.022766469872,14059.29374783239,14522.549356523732,14982.219203336404,15437.769124014387,15888.70140288456,16334.554736733104,16774.903964853325,17209.35959075207,17637.567120282674,18059.20624002628,18473.98985861757,18881.663032449767,19282.001795835233,19674.81191427653,20059.927578048933,20437.210051832324,20806.546294683027,21167.847563218234,21521.04800951518,21866.103283912733,22202.98915165518,22531.70013114136,22852.248160442166,23164.66129772791,23468.98246030397,23765.268206090488,24053.587560594908,24334.020891715718,24606.658834076992,24871.601264023364,25128.956325900283,25378.83950980073,25856.683757546944,26084.904944160826,26306.173006409153,26520.62809885645,26728.41323677729,26929.67371286181,27124.556556821044,27313.210036151017,27495.783196262106,27672.425438147882,27843.28613175328,28008.51426320288,28168.258114064,28322.664970844995,28471.88086296353,28616.05032746228,28755.316198798613,28889.819422088327,29019.698888242037,29145.09128949316,29266.130993879677,29382.94993730589,29495.677531875335,29604.44058925076,29709.363257861587,29810.566972842866,29908.170417652032,30002.289496370773,30093.03731575856
Connecticut,584.6324379173402,737.9824439884212,920.0239648580084,1133.5261779043124,1381.0745371574462,1665.0030461624312,1987.3329605678475,2349.720177185976,2753.413037362425,3199.2216914298297,3687.499581399463,4218.137038853078,4790.566494437653,5403.778375818659,6056.346444922923,6746.461097160702,7471.9690125155885,8230.417503020079,9019.101931533349,9835.11466903818,10675.394197155667,11536.773134771553,12416.024159191655,13309.902991354893,14215.187811550415,15128.71465910984,16047.408541009936,16968.310126438733,17888.598035012135,18805.606834722017,19716.84095219659,20619.98476363481,21512.909181598672,22393.675082836493,23260.53393778056,24111.92600567089,24946.476452692816,25762.98973622395,26560.442578213708,27337.9758265832,28094.885476816118,28830.61309785073,29544.735877993917,30236.956478659664,30907.09285690315,31555.0681924224,32180.901031241607,32784.695736860405,33366.63332034475,33926.96270366208,34465.99245548292,34984.083025594264,35481.63949287792,35959.10483235964,36416.953698980215,36855.68671932058,37275.82527737461,37677.9067764502,38062.4803562515,38430.103042012415,38781.33630109267,39116.74298159711,39436.88460723522,39742.319002708944,40033.598224324036,40311.26677119143,40575.860053261335,40827.903093461166,41067.90944234445,41513.80372014643,41720.654196350464,41917.39208406399,42104.463372786486,42282.29947635895,42451.317134303616,42611.91839715707,42764.490684928016,42909.406908801204,43047.0256471385,43177.69136769602,43301.73468878352,43419.47267284053,43531.20914659311,43637.23504259069,43737.82875750368,43833.2565230948,43923.77278626182,44009.62059498951,44091.0319874484,44168.228381838446,44241.42096490128,44310.81107731736,44376.590594466776,44438.94230126743,44498.040260013615,44554.050170324765,44607.12972047951,44657.42892955608
Delaware,81.59906371594381,100.16874618806193,121.94087357028984,147.2598469612028,176.47342344432502,209.92799494196288,247.96369165591537,290.9094311715936,339.07803444407875,392.7615255434882,452.2267236829468,517.7112243118805,589.419851661108,667.5216488582057,752.1474543812691,843.3880959401433,941.2932155511003,1045.870723195011,1157.0868615023896,1274.8668507568616,1399.0960724005474,1529.6217402986988,1666.255002314259,1808.7734102067031,1956.9236933827267,2110.4247714130065,2268.970941273557,2432.235177731595,2599.872488922081,2771.5232736998078,2946.8166325596453,3125.3735895671484,3306.8101886274467,3490.7404333614445,3676.779045700407,3864.544023926344,4053.658986175224,4243.755290307732,4434.473925485223,4625.467174734562,4816.400051230353,5006.951513967081,5196.815470949875,5385.701580023421,5573.335859013852,5759.461118013233,5943.837227428909,6126.241235890297,6306.467352294404,6484.326806217577,6659.647600663387,6832.274170690515,7002.066960903615,7168.901934124438,7332.670022817592,7493.276534048762,7650.64051792458,7804.694108620356,7955.381846259778,8102.659987082358,8246.495808529762,8386.866915109582,8523.760550160632,8657.172917951928,8787.108519901305,8913.579508100815,9036.605058785368,9156.210767878369,9272.428070292546,9494.849081553471,9601.139984297151,9704.215888458368,9804.129614264924,9900.936883256252,9994.695921653947,10085.467089536322,10173.312535178227,10258.295873812176,10340.481889981966,10419.93626259476,10496.725311728302,10570.915766215869,10642.574551009928,10711.76859331535,10778.564646482044,10843.029130654571,10905.22798919045,10965.226559879016,11023.089460017469,11078.880484429434,11132.66251554272,11184.497444677092,11234.446103728164,11282.56820647026,11328.92229873824,11373.565716785895,11416.554553155733,11457.943629432048
District of Columbia,345.2541808694629,403.93450503888425,469.8488196430142,543.4680488814529,625.2426977865488,715.5972891756163,814.9250942607267,923.5832532633225,1041.8883702610292,1170.1126526926848,1308.48065103839,1457.166638734182,1616.29265690021,1785.9272334284824,1966.0847717974646,2156.725591988827,2357.756594332325,2569.032507177872,2790.357671095619,3021.4883058751902,3262.1352019142987,3511.9667745853008,3770.612418735232,4037.666100468996,4312.690124623143,4595.219018681928,4884.763477135511,5180.814314249622,5482.846377731161,5790.322380668875,6102.696614250766,6419.418508973773,6739.9360172476645,7063.698795352617,7390.161167555238,7718.78485975391,8049.041494261298,8380.414841203386,8712.402825498331,9044.519291463715,9376.29552978642,9707.281573882912,10037.047274593344,10365.183163710182,10691.30111806448,11015.034836807132,11336.040145156177,11653.995138263921,11968.600179018193,12279.577763559068,12586.672268093496,12889.649590251844,13188.296697776443,13482.421096785998,13771.850231241448,14056.430824567351,14336.028173674458,14610.525404898784,14879.822700632258,15143.836504681492,15402.498713662486,15655.755861029065,15903.568299645956,16145.9093881604,16382.764685800803,16614.131159641594,16840.016407820352,17060.437901678783,17275.422249322502,17689.22736955164,17888.140752435,18081.80091426423,18270.269972554466,18453.615301859303,18631.90898487507,18805.227292131767,18973.65019005436,19137.26087702308,19296.14534692875,19450.391979606524,19600.09115743802,19745.33490733517,19886.21656725761,20022.830476367824,20155.271687893004,20283.63570373791,20408.01822987823,20528.514951557503,20645.221327311454,20758.232400850946,20867.64262984716,20973.54573068022,21076.03453823309,21175.200879837328,21271.135462503677,21363.92777259965,21453.665987166547,21540.43689609979
Florida,2826.078857842619,3228.8339193720235,3667.545052412639,4142.707774356299,4654.554903856894,5203.053866746845,5787.908431095555,6408.564599710049,7064.220300702786,7753.838449171619,8476.162905543197,9229.73682787494,10012.922904881389,10823.924961657633,11660.810448716067,12521.533354579497,13403.957120309104,14305.877178601868,15225.042788250625,16159.177884830258,17106.000718730527,18063.242100655763,19028.66212129608,20000.065255157933,20975.31379789336,21952.339621484392,22929.154262118085,23903.857381491845,24874.64366371964,25839.808227173336,26797.7506437785,27746.97766783169,28686.10478269446,29613.856677139727,30529.066764074127,31430.67585321937,32317.730086472133,33189.37824041578,34044.868495139715,34883.544762410485,35704.8426595825,36508.28520864363,37293.478332650135,38060.1062146621,38807.92657727486,39536.76593404846,40246.51485764688,40937.1233033657,41608.59602099248,42260.988082633165,42894.40054926351,43508.97629432845,44104.895998709726,44682.37432780126,45241.65629825294,45783.01383914914,46306.742549951756,46813.15865543579,47302.59615605089,47775.4041706295,48231.944467105364,48672.589175878165,49097.71867964022,49507.719672841915,49902.9833834965,50283.90394968871,50650.87694293894,51004.29803046701,51344.56176838165,51987.18347666802,52290.31581796718,52581.837929727284,52862.124746865506,53131.54516966501,53390.461561739685,53639.22932128399,53878.19651963873,54107.70360152254,54328.08314159539,54539.659652335606,54742.749438521416,54937.66049390948,55124.69243599657,55304.13647503271,55476.27541372638,55641.38367434203,55799.72735013786,55951.56427832704,56097.14413196839,56236.708528402414,56370.4911520465,56498.71788954895,56621.60697547497,56739.369146860765,56852.20780512298,56960.31918395207,57063.89252194847,57163.110238882975
